BAT26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_1121-ec,sample_1125-ecnormal,sample_1037-ec,sample_1020-ecnormal,sample_1107-ec,sample_1070-ecnormal,sample_1122-ec,sample_w1068,sample_1064-ecnormal,sample_1014-ec,sample_1105-ecnormal,sample_w1256,sample_1097-ecnormal,sample_1123-ec,sample_1125-ec,sample_1244-ec,sample_1037-ecnormal,sample_1244-ecnormal,sample_1280-ec,sample_1219-ec,sample_1147-ec,sample_w1054,sample_1135-ecnormal,sample_1020-ec,sample_w1200,sample_1105-ec,sample_1123-ecnormal,sample_1170-ec,sample_w1226,sample_1277-ec,sample_1115-ec,sample_1240-ec,sample_1054nblood,sample_1106-ecnormal,sample_1036-ecnormal,sample_1045-ec,sample_w1225,sample_1110-ecnormal,sample_1121-ecnormal,sample_1237-ec,sample_w1099,sample_1225nblood,sample_1106-ec,sample_1014-ecnormal,sample_1064-ec,sample_1227-ecnormal,sample_1179-ec,sample_1070-ec,sample_1164-ec,sample_1122-ecnormal,sample_1227-ec,sample_w1113,sample_1107-ecnormal,sample_1073-ecnormal,sample_w1247,sample_1073-ec,ph2o-14_h2o,sample_1239-ec,sample_1247nblood,sample_1047-ecnormal,sample_1281-ec,sample_1097-ec,sample_1036-ec,sample_1274-ec,sample_1110-ec,sample_1135-ec,sample_1220-ec,sample_w1227,sample_1087-ec,sample_1047-ec,sample_1273-ec
0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,7,3,3,0,1,0,3,0,0,0,15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,1,0,3,0,1,1,2,0,15,0,6,23,3
1,0,24,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,6,7,0,0,0,0,0,6,1,3,0,23,4,8,1,0,0,6,0,0,0,42,0,0,0,0,0,1,0,1,1,0,5,0,0,3,0,0,0,15,0,0,6,0,0,13,11,0,16,0,12,31,14
1,2,12,3,1,0,1,1,0,1,0,0,2,3,0,0,1,2,12,11,4,0,0,1,0,13,0,8,0,30,8,26,1,1,1,8,0,1,1,27,0,1,1,1,0,0,1,3,6,1,10,0,1,1,0,0,0,49,2,1,8,1,0,24,18,2,24,0,21,52,21
1,4,14,4,2,1,9,0,2,0,1,1,12,4,2,3,4,6,20,32,6,0,4,3,0,19,3,18,0,30,8,35,4,1,1,33,0,2,1,15,4,7,2,5,1,1,2,10,9,7,16,2,2,6,0,3,0,75,4,3,12,5,8,25,28,8,34,1,28,20,14
8,24,15,16,5,2,10,3,3,5,5,0,9,9,9,5,15,14,31,49,24,2,18,16,4,17,6,45,2,14,19,29,9,4,14,52,3,9,1,20,11,17,8,9,6,3,9,16,24,14,16,8,11,4,1,7,0,51,10,8,15,4,15,15,27,10,21,2,25,4,9
14,33,28,40,19,15,23,7,10,10,21,5,35,18,32,24,39,36,33,59,38,1,40,31,5,12,15,44,3,12,23,19,31,24,36,48,8,24,13,15,16,55,20,25,14,22,17,50,31,34,19,11,16,30,6,12,0,33,26,18,16,17,31,23,23,36,16,10,46,1,13
35,56,49,45,39,35,41,2,39,27,43,5,64,36,51,37,49,48,42,40,35,8,74,80,5,22,33,51,9,18,21,26,59,37,49,42,8,46,39,18,12,89,32,60,20,43,51,95,24,46,28,37,43,54,5,57,0,22,54,35,16,38,37,20,24,69,28,5,54,6,15
47,50,19,57,56,65,44,19,67,48,88,6,74,22,17,40,56,51,33,39,52,15,51,60,4,34,23,27,16,22,20,34,97,63,47,72,9,85,34,14,9,89,53,84,30,68,72,174,22,50,38,54,77,82,13,68,0,18,85,76,13,38,26,33,32,68,41,9,49,9,43
38,18,14,16,23,38,19,7,35,34,37,5,22,17,4,21,22,42,18,11,19,5,12,18,1,22,12,11,10,17,11,9,51,25,34,17,5,37,32,6,6,34,19,63,30,48,71,110,21,17,28,13,20,29,3,25,0,12,47,43,4,14,17,29,6,25,13,2,8,4,25
16,5,0,4,12,15,7,3,21,12,4,1,5,24,3,10,7,25,10,4,2,2,4,4,0,5,18,3,4,1,2,5,16,5,20,3,0,5,21,1,4,5,13,25,29,18,21,36,11,2,6,2,8,6,2,5,0,2,8,15,0,7,6,15,2,4,6,0,4,2,6
3,0,0,1,2,7,1,0,11,4,0,1,0,5,1,5,0,9,3,2,2,2,1,3,0,1,7,0,0,0,0,2,2,1,3,0,0,0,6,2,0,0,0,12,14,3,6,8,9,2,3,0,1,1,0,4,0,1,4,4,0,0,2,9,1,2,2,0,1,0,3
1,0,0,0,0,0,0,0,8,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,3,3,0,2,1,2,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0.74,0.9,0.7,0.65,0.63,0.72,0.56,0.66,0.66,0.56,0.76,0.67,0.85,0.86,0.73,0.71,0.79,0.85,0.85,0.72,0.58,0.75,0.72,0.79,0.78,0.81,0.87,0.64,0.88,0.83,0.83,0.64,0.61,0.77,0.75,0.73,0.6,0.77,0.92,0.85,0.7,0.64,0.71,0.8,0.67,0.72,0.66,0.86,0.71,0.78,0.58,0.57,0.62,0.57,0.63,,0.94,0.65,0.63,0.86,0.7,0.82,0.84,0.82,0.7,0.82,0.69,0.81,0.95,0.75
0.27,0.36,0.56,0.37,0.26,0.22,0.33,0.35,0.28,0.23,0.16,0.36,0.29,0.48,0.4,0.34,0.35,0.41,0.56,0.65,0.42,0.22,0.33,0.27,0.47,0.49,0.42,0.58,0.2,0.68,0.57,0.65,0.24,0.23,0.38,0.54,0.33,0.2,0.3,0.79,0.56,0.29,0.3,0.28,0.47,0.23,0.23,0.25,0.58,0.35,0.46,0.19,0.22,0.24,0.3,0.18,,0.82,0.23,0.24,0.65,0.28,0.44,0.61,0.64,0.28,0.63,0.45,0.57,0.89,0.51
NR21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
